Frequency Band,dB Value
Band 41,-74.4140625
Band 42,-68.0234375
Band 43,-69.1796875
Band 44,-81.671875
Band 45,-78.3203125
Band 46,-61.828125
Band 47,-63.8515625
Band 48,-69.5
Band 49,-61.109375
Band 50,-64.6640625
Band 51,-76.0
Band 52,-68.4765625
Band 53,-59.1015625
Band 54,-56.4140625
Band 55,-57.4296875
Band 56,-76.7890625
Band 57,-73.0078125
Band 58,-60.953125
Band 59,-64.3671875
Band 60,-78.5078125
Band 61,-61.390625
Band 62,-62.7578125
Band 63,-76.0703125
Band 64,-73.3203125
Band 65,-72.59375
Band 66,-83.8125
Band 67,-78.46875
Band 68,-86.4140625
Band 69,-84.7578125
Band 70,-89.84375
Band 71,-88.6953125
Band 72,-82.2265625
Band 73,-84.0703125
Band 74,-84.8359375
Band 75,-82.609375
Band 76,-73.390625
Band 77,-76.140625
Band 78,-77.921875
Band 79,-77.453125
Band 80,-72.390625
Band 81,-69.78125
Band 82,-71.7265625
Band 83,-79.3515625
Band 84,-72.6171875
Band 85,-68.9140625
Band 86,-74.6875
Band 87,-73.046875
Band 88,-71.0078125
Band 89,-73.359375
Band 90,-81.2265625
Band 91,-79.515625
Band 92,-86.1640625
Band 93,-87.453125
Band 94,-84.1875
Band 95,-93.8125
Band 96,-90.71875
Band 97,-96.3515625
Band 98,-100.78125
Band 99,-104.6328125
Band 100,-110.109375
Band 101,-110.53125
Band 102,-109.59375
/meters,"b'2\x00\x00\x00\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80|\x80B\x84\xb6\x84\xfa\x85\x00\x80\xc8\x81\xc6\x81*\x8a\xc4\x8f\xb2\x8c\xb2\x93\xc0\x99\xd6\x9e&\xa2\xa0\xa6\x12\xad\xca\xb3\xfc\xbeN\xbd\xba\xb5\x94\xba\x88\xb7\x96\xb5\xfa\xbb\xd2\xbaT\xae\xae\xb1,\xc2&\xc0\x80\xba\xe4\xc2V\xbf\x00\xb4\x86\xbb\xe6\xc4\x96\xc7\x92\xc66\xb3\xfe\xb6\x0c\xc3\xa2\xbf~\xb1\x9c\xc2>\xc1\xee\xb3\xae\xb6h\xb70\xac\x88\xb1\x96\xa9>\xab(\xa6N\xa7\xc6\xad\xee\xab*\xabd\xad\x9c\xb6\xdc\xb3\x14\xb2\x8c\xb2\x9c\xb78\xbaF\xb8\xa6\xb0b\xb7\x16\xbbP\xb5\xf4\xb6\xfe\xb8\xa4\xb6\xc6\xae|\xb0\xd6\xa9\x8c\xa8\xd0\xab0\xa2H\xa5\xa6\x9f8\x9b^\x97\xe4\x91x\x91h\x92'"
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-128.0
Band 16,-128.0
Band 17,-126.5
Band 18,-124.8046875
Band 19,-123.9609375
Band 20,-121.734375
Band 21,-120.3671875
Band 22,-119.78125
Band 23,-128.0
Band 24,-127.09375
Band 25,-127.109375
Band 26,-118.4609375
Band 27,-110.3984375
Band 28,-116.1796875
Band 29,-109.1875
Band 30,-103.125
Band 31,-98.0390625
Band 32,-94.7265625
Band 33,-90.25
Band 34,-83.8046875
Band 35,-77.0859375
Band 36,-65.8984375
Band 37,-67.5703125
Band 38,-72.3828125
Band 39,-70.3828125
Band 40,-73.421875
Band 41,-75.3671875
Band 42,-68.9765625
Band 43,-70.140625
Band 44,-82.6328125
Band 45,-79.28125
Band 46,-62.78125
Band 47,-64.8046875
Band 48,-70.453125
Band 49,-62.0703125
Band 50,-65.625
Band 51,-76.953125
Band 52,-69.4375
Band 53,-60.0546875
Band 54,-57.375
Band 55,-58.390625
Band 56,-77.75
Band 57,-73.9609375
Band 58,-61.90625
Band 59,-65.3203125
Band 60,-79.46875
Band 61,-62.34375
Band 62,-63.7109375
Band 63,-77.03125
Band 64,-74.2734375
Band 65,-73.546875
Band 66,-84.765625
Band 67,-79.34375
Band 68,-87.2890625
Band 69,-85.6328125
Band 70,-90.71875
Band 71,-89.5703125
Band 72,-83.1015625
Band 73,-84.9453125
Band 74,-85.7109375
Band 75,-83.484375
Band 76,-74.265625
Band 77,-77.015625
Band 78,-78.796875
Band 79,-78.328125
Band 80,-73.265625
Band 81,-70.6640625
Band 82,-72.6015625
Band 83,-80.2265625
Band 84,-73.5
Band 85,-69.7890625
Band 86,-75.5625
Band 87,-73.921875
Band 88,-71.8828125
Band 89,-74.234375
Band 90,-82.109375
Band 91,-80.390625
Band 92,-87.0390625
Band 93,-88.328125
Band 94,-85.0625
Band 95,-94.6875
Band 96,-91.59375
Band 97,-97.2265625
Band 98,-101.6640625
Band 99,-105.5078125
Band 100,-110.984375
Band 101,-111.40625
Band 102,-110.46875
